arm,component,log_median_shift,ci_low,ci_high,multiplicative_ratio
Free,Giraffe population,0.0,-0.03419136474827944,0.017241806434505236,1.0
Free,Spots per giraffe,0.28601915396699074,-0.1655144384775733,0.9928446897561374,1.3311179511974147
Relevant clamp,Giraffe population,0.008510689667907911,-0.005965079468474244,0.021322769468820724,1.0085470085470079
Relevant clamp,Spots per giraffe,0.0,0.0,0.0,1.0
Irrelevant clamp,Giraffe population,0.017411687550847432,-0.010762234113252944,0.04495474686054725,1.0175641545999459
Irrelevant clamp,Spots per giraffe,0.7680112339034499,0.0,1.7227665977411037,2.155475252196465
