arm,directional_leakage,ci_low,ci_high
Free,0.16666666666666674,-0.125,0.4166666666666667
Relevant clamp,0.49999999999999994,0.29166666666666663,0.7083333333333334
Irrelevant clamp,0.3333333333333333,0.08333333333333326,0.5833333333333334
